ISO,UBID,context
bra,352170505000023,118
bra,310150805000015,118
bra,291840705000098,118
bra,313670205110002,118
bra,355410205000017,118
bra,354990405000927,116
bra,312770105000330,118
bra,312770105000335,118
bra,312770105000334,118
bra,350700105000108,118
bra,430463006000004,118
bra,312770105000021,118
bra,431265805000015,118
bra,351870110000129,118
bra,290687305000053,118
bra,330620605000031,118
bra,354670205000030,118
bra,431410005110001,118
bra,172110905000040,118
bra,352330505000021,118
bra,352330505000022,118
bra,352330505000025,118
bra,130420305000051,118
bra,130420305000059,118
bra,355030861000122,116
bra,431550305000010,118
bra,431550305000011,118
bra,521975305000070,118
bra,130400505000009,118
bra,130400505000008,116
bra,130423705000057,118
bra,261160605210243,118
bra,330490420000361,118
bra,330500005000017,118
bra,330500005000018,118
bra,210317405000020,118
bra,355540605000157,118
bra,520890505000014,118
bra,420940905000006,118
bra,355400305000126,118
bra,311860105280012,118
bra,311860105280014,118
bra,353680205000013,118
bra,130360105000026,118
bra,510080505000016,118
bra,510080505000014,118
bra,355030830000445,118
bra,430230305000040,118
bra,130260305090228,116
bra,355030858000234,118
bra,352800705000025,118
bra,352800705000024,118
bra,353870905000542,118
bra,330240305000001,116
bra,354870810000014,118
bra,350950205000283,118
bra,317010705230003,118
bra,421500005000054,118
bra,317020605000644,118
bra,110013020000005,118
bra,330520805070027,118
bra,210300005000169,116
bra,210300005000168,116
bra,354660305000013,118
bra,353110005000089,118
bra,150060205000141,118
bra,150060205000142,118
bra,350950205001069,118
bra,130260305110103,118
bra,510550705000009,118
bra,293245705000020,118
bra,432143625000008,118
bra,330400305000023,118
bra,430410120000001,118
bra,351600205000019,118
bra,351880005001095,116
bra,313620705000081,118
bra,354960705000011,118
bra,240810205080076,116
bra,240810205080074,118
bra,432220205000037,118
bra,353690105000007,116
bra,290265805000011,118
bra,355030870000219,118
bra,353050805000005,118
bra,411370005000006,118
bra,150658310000008,118
bra,420850005000074,118
bra,317010705180015,118
bra,315210505060053,118
bra,250157505000018,118
bra,500830505000092,118
bra,320520015090089,118
bra,310530105000009,116
bra,130040905000084,118
bra,130040905000081,118
bra,130040905000089,118
bra,310670505080042,118
bra,260640805000052,116
bra,350010505000068,118
bra,330190005000172,118
bra,210750605000095,118
bra,351880010000105,118
bra,290755805000017,116
bra,320130810000135,116
bra,430900105000033,118
bra,310840405000011,118
bra,230190105000080,118
bra,350520305000038,118
bra,292950305000059,118
bra,352180405000037,118
bra,352180405000038,118
bra,352180405000039,118
bra,350055005000013,118
bra,350055005000012,118
bra,350055005000011,116
bra,350055005000010,116
bra,350055005000015,118
bra,431405005000057,118
bra,310070805000003,118
bra,270750305000006,118
bra,130380920000011,118
bra,310830505000007,118
bra,431010805000037,118
bra,130090405000027,118
bra,130090405000028,116
bra,431245005000008,118
bra,313460805000027,118
bra,314810305000129,118
bra,355030803000098,118
bra,330010010000010,118
bra,330330205000841,118
bra,355030803000085,118
bra,352690205000355,118
bra,352690205000357,118
bra,292440510000018,118
bra,316970305000018,118
bra,351050010000068,118
bra,420440005000022,118
bra,420440005000024,118
bra,355030811000345,118
bra,420440005000028,118
bra,352310705000340,118
bra,421900205000084,118
bra,330030805000177,118
bra,330030805000174,118
bra,420240415000058,118
bra,420240415000059,118
bra,130100105000052,116
bra,431560205360001,118
bra,150550205000085,118
bra,150550205000081,118
bra,150550205000083,118
bra,355010005000002,118
bra,510628105000015,118
bra,510628105000011,118
bra,316720205000008,118
bra,316720205000004,116
bra,355400305000230,118
bra,352190305000027,118
bra,355030837000034,118
bra,510525905000053,118
bra,510525905000055,118
bra,350950205001239,118
bra,350950205001237,118
bra,330470605000002,118
bra,353080505000104,118
bra,431610505000044,118
bra,510760205000302,118
bra,351780205000023,118
bra,530010805230006,116
bra,530010805230007,116
bra,530010805230005,118
bra,230150505000011,118
bra,230150505000013,118
bra,110033815000005,118
bra,310620060640202,118
bra,355030807000081,118
bra,354340205000792,118
bra,352400605000091,118
bra,350970005000029,118
bra,354890605000031,118
bra,500110205000043,118
bra,352400605000097,118
bra,410770215000001,118
bra,355030847000046,116
bra,317020605000504,118
bra,310670505070041,118
bra,310670505070042,118
bra,310670505070045,118
bra,431244305000005,116
bra,317010705000025,118
bra,317010705000024,118
bra,431330005000069,118
bra,421080305000005,118
bra,130260305130089,116
bra,352680305000063,116
bra,353060710000042,118
bra,130050810000005,116
bra,130050810000004,118
bra,355120705000005,118
bra,500570705000100,118
bra,292570905000030,118
bra,310620025610424,116
bra,412665205000008,116
bra,412530805000006,118
bra,320060715000007,116
bra,310620005650037,118
bra,290200505000030,118
bra,421530705000031,118
bra,313860910000004,116
bra,230410320000007,118
bra,431365630000020,118
bra,431365630000021,118
bra,430510805100147,118
bra,354170305000020,118
bra,140005005000031,118
bra,421530705000030,118
bra,211260505000024,118
bra,351907105000197,118
bra,350450305000039,118
bra,330490410000273,118
bra,411150635000006,118
bra,354770005000040,118
bra,351907105000193,118
bra,330093605000001,118
bra,420540725000019,118
bra,311730605000050,118
bra,311860105240002,118
bra,330490420000014,116
bra,355170205000011,118
bra,351390005000013,118
bra,352040015000006,118
bra,351110205000172,118
bra,355030839000004,118
bra,431840820000001,118
bra,110175705000011,118
bra,421315305000003,118
bra,421315305000002,118
bra,432260817000002,118
bra,520110805000379,116
bra,330480510000008,118
bra,431230210000001,118
bra,354170305000030,118
bra,317057805000013,118
bra,420590205000108,118
bra,354220605000037,118
bra,110020525000002,118
bra,350010505000051,118
bra,421370805000033,118
bra,421370805000031,118
bra,310620005680198,118
bra,431697220000001,116
bra,351870105000304,116
bra,355030825000204,118
bra,420540705000030,116
bra,530010805080561,118
bra,350760505000264,118
bra,350760505000265,118
bra,350760505000263,118
bra,230945805000006,116
bra,353340305000078,118
bra,350750605000026,118
bra,110094005000021,118
bra,520960605000010,118
bra,353730505000032,118
bra,521308705000049,118
bra,521308705000045,118
bra,291220205000017,116
bra,291220205000015,118
bra,411200905000025,116
bra,330490410000042,118
bra,311420409000004,118
bra,355030864000160,116
bra,311440205000018,118
bra,311440205000019,118
bra,411370005020030,116
bra,510350205000021,118
bra,210360405000081,118
bra,410820505000006,118
bra,330040705070002,118
bra,230427705000018,116
bra,421870705000138,118
bra,421530705000024,118
bra,280290805000125,118
bra,411450005000011,118
bra,330630505000065,118
bra,353270205000004,118
bra,352440210000044,118
bra,352440210000040,118
bra,412550605000221,118
bra,351870105000050,116
bra,316294805000005,116
bra,270730505000015,116
bra,354490505000009,118
bra,410530005000008,116
bra,421840005000014,118
bra,330490410000328,118
bra,330490410000325,118
bra,352390905000044,118
bra,355340105000031,118
bra,291080005060090,116
bra,291080005060094,116
bra,354780905000784,116
bra,260210020000006,118
bra,354140605000308,118
bra,352470905000030,118
bra,354560505000016,118
bra,317010705020001,118
bra,354780905000449,118
bra,353800605000009,118
bra,355030855000246,118
bra,313380805000025,118
bra,110012205000141,118
bra,250750705000958,118
